satellite_id,name,country_operator,orbit_class,orbit_type,perigee_km,apogee_km,altitude_mean_km,eccentricity,inclination_deg,period_min,launch_mass_kg,launch_date,expected_lifetime_yrs,launch_site,launch_vehicle,norad_number,cospar_number,orbit_shell,launch_year
696,Starlink-1753 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46571.0,2020-070AR,Shell-1 (400–600 km),2020
697,Starlink-1754 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46590.0,2020-070BL,Shell-1 (400–600 km),2020
698,Starlink-1755 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46591.0,2020-070BM,Shell-1 (400–600 km),2020
699,Starlink-1756,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46379.0,2020-062BG,Shell-1 (400–600 km),2020
700,Starlink-1757,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46339.0,2020-062Q,Shell-1 (400–600 km),2020
701,Starlink-1758,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46380.0,2020-062BH,Shell-1 (400–600 km),2020
702,Starlink-1759,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46340.0,2020-062R,Shell-1 (400–600 km),2020
703,Starlink-1760 ,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46341.0,2020-062S,Shell-1 (400–600 km),2020
704,Starlink-1762,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46342.0,2020-062T,Shell-1 (400–600 km),2020
705,Starlink-1763,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46364.0,2020-062AR,Shell-1 (400–600 km),2020
706,Starlink-1764,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46343.0,2020-062U,Shell-1 (400–600 km),2020
707,Starlink-1765,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46344.0,2020-062V,Shell-1 (400–600 km),2020
708,Starlink-1766 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-18,4.0,Cape Canaveral,Falcon 9,46677.0,2020-073H,Shell-1 (400–600 km),2020
709,Starlink-1767,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46345.0,2020-062W,Shell-1 (400–600 km),2020
710,Starlink-1768,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46381.0,2020-062BJ,Shell-1 (400–600 km),2020
711,Starlink-1769,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46382.0,2020-062BK,Shell-1 (400–600 km),2020
712,Starlink-1770 ,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46383.0,2020-062BL,Shell-1 (400–600 km),2020
713,Starlink-1771,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46384.0,2020-062BM,Shell-1 (400–600 km),2020
714,Starlink-1773 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-18,4.0,Cape Canaveral,Falcon 9,46679.0,2020-073K,Shell-1 (400–600 km),2020
